Wn,Wvar,C,L1,L2,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
3e-05,5e-06,5e-13,4e-10,1e-10,0.0699,31500000000.0,789000000.0,11.46,-83.19
3e-05,5e-06,5e-13,4e-10,5e-11,0.0699,31500000000.0,788000000.0,11.46,-83.49
3e-05,5e-06,5e-13,4e-10,1.5e-10,0.0699,31500000000.0,790000000.0,11.46,-83.41
3e-05,5e-06,5e-13,4e-10,2e-10,0.0699,31500000000.0,791000000.0,11.46,-83.01
3e-05,5e-06,5e-13,4e-10,2.5e-10,0.0699,31500000000.0,790000000.0,11.46,-83.21
3e-05,5e-06,5e-13,3e-10,1e-10,0.0699,35300000000.0,947000000.0,10.76,-87.69
3e-05,5e-06,5e-13,3e-10,5e-11,0.0699,35300000000.0,945000000.0,10.76,-87.76
3e-05,5e-06,5e-13,3e-10,1.5e-10,0.0699,35300000000.0,948000000.0,10.76,-88.6
3e-05,5e-06,5e-13,3e-10,2e-10,0.0699,35300000000.0,948000000.0,10.76,-87.98
3e-05,5e-06,5e-13,3e-10,2.5e-10,0.0699,35300000000.0,950000000.0,10.77,-87.75
3e-05,5e-06,5e-13,3.5e-10,1e-10,0.0699,33200000000.0,856000000.0,11.14,-85.09
3e-05,5e-06,5e-13,3.5e-10,5e-11,0.0699,33200000000.0,854000000.0,11.14,-84.8
3e-05,5e-06,5e-13,3.5e-10,1.5e-10,0.0699,33200000000.0,853000000.0,11.14,-84.97
3e-05,5e-06,5e-13,3.5e-10,2e-10,0.0699,33200000000.0,856000000.0,11.14,-85.07
3e-05,5e-06,5e-13,3.5e-10,2.5e-10,0.0699,33200000000.0,858000000.0,11.14,-84.68
3e-05,5e-06,5e-13,4.5e-10,1e-10,0.0699,30200000000.0,738000000.0,11.75,-81.87
3e-05,5e-06,5e-13,4.5e-10,5e-11,0.0699,30200000000.0,739000000.0,11.75,-82.42
3e-05,5e-06,5e-13,4.5e-10,1.5e-10,0.0699,30200000000.0,739000000.0,11.75,-82.34
3e-05,5e-06,5e-13,4.5e-10,2e-10,0.0699,30200000000.0,740000000.0,11.75,-82.54
3e-05,5e-06,5e-13,4.5e-10,2.5e-10,0.0699,30200000000.0,740000000.0,11.75,-82.55
3e-05,5e-06,5e-13,5e-10,1e-10,0.0699,29000000000.0,698000000.0,11.99,-81.81
3e-05,5e-06,5e-13,5e-10,5e-11,0.0699,29000000000.0,698000000.0,11.99,-81.68
3e-05,5e-06,5e-13,5e-10,1.5e-10,0.0699,29000000000.0,699000000.0,11.99,-81.86
3e-05,5e-06,5e-13,5e-10,2.5e-10,0.0699,29000000000.0,698000000.0,11.99,-81.65
3e-05,5e-06,3e-13,4e-10,1e-10,0.0699,31500000000.0,789000000.0,11.46,-83.44
3e-05,5e-06,3e-13,4e-10,5e-11,0.0699,31500000000.0,790000000.0,11.46,-83.73
3e-05,5e-06,3e-13,4e-10,1.5e-10,0.0699,31500000000.0,790000000.0,11.46,-83.68
3e-05,5e-06,3e-13,4e-10,2e-10,0.0699,31500000000.0,790000000.0,11.46,-83.42
3e-05,5e-06,3e-13,3e-10,1e-10,0.0699,35300000000.0,946000000.0,10.76,-88.08
3e-05,5e-06,3e-13,3e-10,5e-11,0.0699,35300000000.0,949000000.0,10.77,-87.93
3e-05,5e-06,3e-13,3e-10,1.5e-10,0.0699,35300000000.0,948000000.0,10.76,-87.56
3e-05,5e-06,3e-13,3e-10,2e-10,0.0699,35300000000.0,948000000.0,10.77,-87.87
3e-05,5e-06,3e-13,3e-10,2.5e-10,0.0699,35300000000.0,950000000.0,10.77,-87.77
3e-05,5e-06,3e-13,3.5e-10,1e-10,0.0699,33200000000.0,855000000.0,11.14,-85.01
3e-05,5e-06,3e-13,3.5e-10,5e-11,0.0699,33200000000.0,855000000.0,11.14,-85.25
3e-05,5e-06,3e-13,3.5e-10,1.5e-10,0.0699,33200000000.0,856000000.0,11.14,-85.18
3e-05,5e-06,3e-13,3.5e-10,2e-10,0.0699,33200000000.0,858000000.0,11.14,-84.7
3e-05,5e-06,3e-13,3.5e-10,2.5e-10,0.0699,33200000000.0,853000000.0,11.14,-84.74
3e-05,5e-06,3e-13,4.5e-10,1e-10,0.0699,30200000000.0,739000000.0,11.75,-82.65
3e-05,5e-06,3e-13,4.5e-10,5e-11,0.0699,30200000000.0,740000000.0,11.75,-82.48
3e-05,5e-06,3e-13,4.5e-10,1.5e-10,0.0699,30200000000.0,739000000.0,11.75,-82.41
3e-05,5e-06,3e-13,4.5e-10,2e-10,0.0699,30200000000.0,740000000.0,11.75,-82.53
3e-05,5e-06,3e-13,4.5e-10,2.5e-10,0.0699,30200000000.0,740000000.0,11.75,-82.51
3e-05,5e-06,3e-13,5e-10,1e-10,0.0699,29000000000.0,699000000.0,11.99,-81.65
3e-05,5e-06,3e-13,5e-10,5e-11,0.0699,29000000000.0,701000000.0,11.99,-81.85
3e-05,5e-06,3e-13,5e-10,1.5e-10,0.0699,29000000000.0,699000000.0,11.99,-81.6
3e-05,5e-06,4e-13,4e-10,1e-10,0.0699,31500000000.0,791000000.0,11.46,-83.04
3e-05,5e-06,4e-13,4e-10,5e-11,0.0699,31500000000.0,789000000.0,11.46,-83.45
3e-05,5e-06,4e-13,4e-10,1.5e-10,0.0699,31500000000.0,788000000.0,11.46,-83.5
3e-05,5e-06,4e-13,4e-10,2e-10,0.0699,31500000000.0,790000000.0,11.46,-83.34
3e-05,5e-06,4e-13,4e-10,2.5e-10,0.0699,31500000000.0,789000000.0,11.46,-83.39
3e-05,5e-06,4e-13,3e-10,5e-11,0.0699,35300000000.0,949000000.0,10.77,-88.07
3e-05,5e-06,4e-13,3e-10,1.5e-10,0.0699,35300000000.0,947000000.0,10.76,-87.92
3e-05,5e-06,4e-13,3e-10,2e-10,0.0699,35300000000.0,948000000.0,10.77,-87.97
3e-05,5e-06,4e-13,3e-10,2.5e-10,0.0699,35300000000.0,947000000.0,10.76,-88.13
3e-05,5e-06,4e-13,3.5e-10,1e-10,0.0699,33200000000.0,857000000.0,11.14,-85.15
3e-05,5e-06,4e-13,3.5e-10,5e-11,0.0699,33200000000.0,856000000.0,11.14,-85.11
3e-05,5e-06,4e-13,3.5e-10,1.5e-10,0.0699,33200000000.0,856000000.0,11.14,-85.02
3e-05,5e-06,4e-13,3.5e-10,2e-10,0.0699,33200000000.0,855000000.0,11.14,-84.93
3e-05,5e-06,4e-13,3.5e-10,2.5e-10,0.0699,33200000000.0,856000000.0,11.14,-85.0
3e-05,5e-06,4e-13,4.5e-10,1e-10,0.0699,30200000000.0,739000000.0,11.75,-82.3
3e-05,5e-06,4e-13,4.5e-10,5e-11,0.0699,30200000000.0,739000000.0,11.75,-82.48
3e-05,5e-06,4e-13,4.5e-10,1.5e-10,0.0699,30200000000.0,740000000.0,11.75,-82.37
3e-05,5e-06,4e-13,4.5e-10,2.5e-10,0.0699,30200000000.0,739000000.0,11.75,-82.28
3e-05,5e-06,4e-13,5e-10,1e-10,0.0699,29000000000.0,699000000.0,11.99,-81.77
3e-05,5e-06,4e-13,5e-10,5e-11,0.0699,29000000000.0,699000000.0,11.99,-81.81
3e-05,5e-06,4e-13,5e-10,2e-10,0.0699,29000000000.0,699000000.0,11.99,-81.11
3e-05,5e-06,4e-13,5e-10,2.5e-10,0.0699,29000000000.0,699000000.0,11.99,-81.61
3e-05,5e-06,6e-13,4e-10,1e-10,0.0699,31500000000.0,789000000.0,11.46,-83.37
3e-05,5e-06,6e-13,4e-10,5e-11,0.0699,31500000000.0,788000000.0,11.46,-86.4
3e-05,5e-06,6e-13,4e-10,1.5e-10,0.0699,31500000000.0,789000000.0,11.46,-83.46
3e-05,5e-06,6e-13,4e-10,2e-10,0.0699,31500000000.0,787000000.0,11.46,-83.27
3e-05,5e-06,6e-13,4e-10,2.5e-10,0.0699,31500000000.0,791000000.0,11.46,-83.05
3e-05,5e-06,6e-13,3e-10,1e-10,0.0699,35300000000.0,945000000.0,10.76,-88.79
3e-05,5e-06,6e-13,3e-10,5e-11,0.0699,35300000000.0,948000000.0,10.76,-87.99
3e-05,5e-06,6e-13,3e-10,1.5e-10,0.0699,35300000000.0,946000000.0,10.76,-87.7
3e-05,5e-06,6e-13,3e-10,2e-10,0.0699,35300000000.0,946000000.0,10.76,-88.03
3e-05,5e-06,6e-13,3e-10,2.5e-10,0.0699,35300000000.0,950000000.0,10.77,-88.11
3e-05,5e-06,6e-13,3.5e-10,1e-10,0.0699,33200000000.0,858000000.0,11.14,-85.09
3e-05,5e-06,6e-13,3.5e-10,5e-11,0.0699,33200000000.0,853000000.0,11.14,-85.73
3e-05,5e-06,6e-13,3.5e-10,1.5e-10,0.0699,33200000000.0,853000000.0,11.14,-85.75
3e-05,5e-06,6e-13,3.5e-10,2e-10,0.0699,33200000000.0,855000000.0,11.14,-84.75
3e-05,5e-06,6e-13,3.5e-10,2.5e-10,0.0699,33200000000.0,856000000.0,11.14,-85.06
3e-05,5e-06,6e-13,4.5e-10,1e-10,0.0699,30200000000.0,739000000.0,11.75,-82.2
3e-05,5e-06,6e-13,4.5e-10,1.5e-10,0.0699,30200000000.0,740000000.0,11.75,-82.73
3e-05,5e-06,6e-13,5e-10,1e-10,0.0699,29000000000.0,699000000.0,11.99,-81.63
3e-05,5e-06,6e-13,5e-10,2e-10,0.0699,29000000000.0,698000000.0,11.99,-81.5
3e-05,5e-06,7e-13,4e-10,1e-10,0.0699,31500000000.0,790000000.0,11.46,-83.47
3e-05,5e-06,7e-13,4e-10,5e-11,0.0699,31500000000.0,788000000.0,11.46,-83.29
3e-05,5e-06,7e-13,4e-10,1.5e-10,0.0699,31500000000.0,789000000.0,11.46,-83.43
3e-05,5e-06,7e-13,4e-10,2e-10,0.0699,31500000000.0,789000000.0,11.46,-83.49
3e-05,5e-06,7e-13,4e-10,2.5e-10,0.0699,31500000000.0,787000000.0,11.46,-83.55
3e-05,5e-06,7e-13,3e-10,5e-11,0.0699,35300000000.0,950000000.0,10.77,-88.03
3e-05,5e-06,7e-13,3e-10,1.5e-10,0.0699,35300000000.0,948000000.0,10.76,-87.92
3e-05,5e-06,7e-13,3e-10,2.5e-10,0.0699,35300000000.0,947000000.0,10.76,-87.68
3e-05,5e-06,7e-13,3.5e-10,1e-10,0.0699,33200000000.0,855000000.0,11.14,-85.29
3e-05,5e-06,7e-13,3.5e-10,5e-11,0.0699,33200000000.0,853000000.0,11.14,-85.74
3e-05,5e-06,7e-13,3.5e-10,1.5e-10,0.0699,33200000000.0,855000000.0,11.14,-85.0
3e-05,5e-06,7e-13,3.5e-10,2e-10,0.0699,33200000000.0,855000000.0,11.14,-84.48
3e-05,5e-06,7e-13,3.5e-10,2.5e-10,0.0699,33200000000.0,854000000.0,11.14,-85.03
3e-05,5e-06,7e-13,4.5e-10,1e-10,0.0699,30200000000.0,739000000.0,11.75,-82.4
3e-05,5e-06,7e-13,4.5e-10,5e-11,0.0699,30200000000.0,739000000.0,11.75,-82.43
3e-05,5e-06,7e-13,4.5e-10,1.5e-10,0.0699,30200000000.0,739000000.0,11.75,-82.59
3e-05,5e-06,7e-13,4.5e-10,2e-10,0.0699,30200000000.0,739000000.0,11.75,-82.29
3e-05,5e-06,7e-13,4.5e-10,2.5e-10,0.0699,30200000000.0,738000000.0,11.75,-82.47
3e-05,5e-06,7e-13,5e-10,1e-10,0.0699,29000000000.0,698000000.0,11.99,-81.8
3e-05,5e-06,7e-13,5e-10,5e-11,0.0699,29000000000.0,700000000.0,11.99,-81.97
3e-05,5e-06,7e-13,5e-10,2e-10,0.0699,29000000000.0,699000000.0,11.99,-82.14
3e-05,6e-06,5e-13,4e-10,1e-10,0.0699,31300000000.0,906000000.0,11.5,-83.24
3e-05,6e-06,5e-13,4e-10,1.5e-10,0.0699,31300000000.0,907000000.0,11.5,-83.46
3e-05,6e-06,5e-13,4e-10,2e-10,0.0699,31300000000.0,905000000.0,11.5,-83.22
3e-05,6e-06,5e-13,4e-10,2.5e-10,0.0699,31300000000.0,907000000.0,11.5,-83.48
3e-05,6e-06,5e-13,3e-10,1e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.57
3e-05,6e-06,5e-13,3e-10,5e-11,0.0699,35100000000.0,1090000000.0,10.8,-87.42
3e-05,6e-06,5e-13,3e-10,1.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.7
3e-05,6e-06,5e-13,3e-10,2e-10,0.0699,35100000000.0,1090000000.0,10.8,-88.27
3e-05,6e-06,5e-13,3e-10,2.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.48
3e-05,6e-06,5e-13,3.5e-10,1e-10,0.0699,32900000000.0,982000000.0,11.17,-85.14
3e-05,6e-06,5e-13,3.5e-10,5e-11,0.0699,32900000000.0,983000000.0,11.17,-84.08
3e-05,6e-06,5e-13,3.5e-10,1.5e-10,0.0699,32900000000.0,982000000.0,11.17,-81.88
3e-05,6e-06,5e-13,3.5e-10,2e-10,0.0699,32900000000.0,983000000.0,11.17,-85.0
3e-05,6e-06,5e-13,3.5e-10,2.5e-10,0.0699,32900000000.0,979000000.0,11.17,-84.72
3e-05,6e-06,5e-13,4.5e-10,1e-10,0.0699,29900000000.0,849000000.0,11.78,-82.27
3e-05,6e-06,5e-13,4.5e-10,5e-11,0.0699,29900000000.0,847000000.0,11.78,-82.21
3e-05,6e-06,5e-13,4.5e-10,1.5e-10,0.0699,29900000000.0,849000000.0,11.78,-82.55
3e-05,6e-06,5e-13,4.5e-10,2e-10,0.0699,29900000000.0,849000000.0,11.78,-84.66
3e-05,6e-06,5e-13,5e-10,1e-10,0.0699,28800000000.0,805000000.0,12.02,-81.78
3e-05,6e-06,5e-13,5e-10,5e-11,0.0699,28800000000.0,803000000.0,12.02,-81.52
3e-05,6e-06,5e-13,5e-10,1.5e-10,0.0699,28800000000.0,801000000.0,12.02,-81.74
3e-05,6e-06,5e-13,5e-10,2e-10,0.0699,28800000000.0,804000000.0,12.02,-81.79
3e-05,6e-06,5e-13,5e-10,2.5e-10,0.0699,28800000000.0,806000000.0,12.02,-81.42
3e-05,6e-06,3e-13,4e-10,1e-10,0.0699,31300000000.0,906000000.0,11.5,-83.04
3e-05,6e-06,3e-13,4e-10,5e-11,0.0699,31300000000.0,907000000.0,11.5,-83.41
3e-05,6e-06,3e-13,4e-10,1.5e-10,0.0699,31300000000.0,907000000.0,11.5,-83.47
3e-05,6e-06,3e-13,4e-10,2e-10,0.0699,31300000000.0,907000000.0,11.5,-83.52
3e-05,6e-06,3e-13,4e-10,2.5e-10,0.0699,31300000000.0,907000000.0,11.5,-83.53
3e-05,6e-06,3e-13,3e-10,5e-11,0.0699,35100000000.0,1090000000.0,10.8,-83.56
3e-05,6e-06,3e-13,3e-10,1.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.78
3e-05,6e-06,3e-13,3e-10,2e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.9
3e-05,6e-06,3e-13,3e-10,2.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.55
3e-05,6e-06,3e-13,3.5e-10,1e-10,0.0699,32900000000.0,982000000.0,11.17,-84.76
3e-05,6e-06,3e-13,3.5e-10,5e-11,0.0699,32900000000.0,983000000.0,11.17,-84.91
3e-05,6e-06,3e-13,3.5e-10,1.5e-10,0.0699,32900000000.0,982000000.0,11.17,-85.13
3e-05,6e-06,3e-13,3.5e-10,2.5e-10,0.0699,32900000000.0,984000000.0,11.17,-84.64
3e-05,6e-06,3e-13,4.5e-10,1e-10,0.0699,29900000000.0,849000000.0,11.78,-82.3
3e-05,6e-06,3e-13,4.5e-10,5e-11,0.0699,29900000000.0,849000000.0,11.78,-82.29
3e-05,6e-06,3e-13,4.5e-10,1.5e-10,0.0699,29900000000.0,849000000.0,11.78,-82.56
3e-05,6e-06,3e-13,4.5e-10,2e-10,0.0699,29900000000.0,847000000.0,11.78,-82.35
3e-05,6e-06,3e-13,4.5e-10,2.5e-10,0.0699,29900000000.0,849000000.0,11.78,-82.57
3e-05,6e-06,3e-13,5e-10,1e-10,0.0699,28800000000.0,797000000.0,12.02,-81.8
3e-05,6e-06,3e-13,5e-10,5e-11,0.0699,28800000000.0,803000000.0,12.02,-81.76
3e-05,6e-06,3e-13,5e-10,1.5e-10,0.0699,28800000000.0,804000000.0,12.02,-81.84
3e-05,6e-06,3e-13,5e-10,2e-10,0.0699,28800000000.0,800000000.0,12.02,-81.7
3e-05,6e-06,3e-13,5e-10,2.5e-10,0.0699,28800000000.0,802000000.0,12.02,-81.81
3e-05,6e-06,4e-13,4e-10,1e-10,0.0699,31300000000.0,907000000.0,11.5,-83.2
3e-05,6e-06,4e-13,4e-10,5e-11,0.0699,31300000000.0,907000000.0,11.5,-83.36
3e-05,6e-06,4e-13,4e-10,1.5e-10,0.0699,31300000000.0,905000000.0,11.5,-83.51
3e-05,6e-06,4e-13,4e-10,2e-10,0.0699,31300000000.0,907000000.0,11.5,-83.33
3e-05,6e-06,4e-13,3e-10,1e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.72
3e-05,6e-06,4e-13,3e-10,5e-11,0.0699,35100000000.0,1090000000.0,10.8,-87.58
3e-05,6e-06,4e-13,3e-10,1.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.61
3e-05,6e-06,4e-13,3e-10,2.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.86
3e-05,6e-06,4e-13,3.5e-10,1e-10,0.0699,32900000000.0,981000000.0,11.17,-84.54
3e-05,6e-06,4e-13,3.5e-10,5e-11,0.0699,32900000000.0,984000000.0,11.17,-85.37
3e-05,6e-06,4e-13,3.5e-10,1.5e-10,0.0699,32900000000.0,982000000.0,11.17,-84.89
3e-05,6e-06,4e-13,3.5e-10,2e-10,0.0699,32900000000.0,984000000.0,11.17,-85.04
3e-05,6e-06,4e-13,3.5e-10,2.5e-10,0.0699,32900000000.0,982000000.0,11.17,-84.74
3e-05,6e-06,4e-13,4.5e-10,1e-10,0.0699,29900000000.0,849000000.0,11.78,-82.58
3e-05,6e-06,4e-13,4.5e-10,5e-11,0.0699,29900000000.0,849000000.0,11.78,-85.35
3e-05,6e-06,4e-13,4.5e-10,1.5e-10,0.0699,29900000000.0,848000000.0,11.78,-82.37
3e-05,6e-06,4e-13,4.5e-10,2.5e-10,0.0699,29900000000.0,848000000.0,11.78,-82.19
3e-05,6e-06,4e-13,5e-10,1e-10,0.0699,28800000000.0,797000000.0,12.02,-82.28
3e-05,6e-06,4e-13,5e-10,5e-11,0.0699,28800000000.0,802000000.0,12.02,-81.49
3e-05,6e-06,4e-13,5e-10,1.5e-10,0.0699,28800000000.0,804000000.0,12.02,-82.11
3e-05,6e-06,4e-13,5e-10,2e-10,0.0699,28800000000.0,802000000.0,12.02,-81.95
3e-05,6e-06,4e-13,5e-10,2.5e-10,0.0699,28800000000.0,804000000.0,12.02,-81.48
3e-05,6e-06,6e-13,4e-10,1e-10,0.0699,31300000000.0,907000000.0,11.5,-83.8
3e-05,6e-06,6e-13,4e-10,5e-11,0.0699,31300000000.0,907000000.0,11.5,-83.54
3e-05,6e-06,6e-13,4e-10,2e-10,0.0699,31300000000.0,907000000.0,11.5,-83.22
3e-05,6e-06,6e-13,4e-10,2.5e-10,0.0699,31300000000.0,907000000.0,11.5,-83.49
3e-05,6e-06,6e-13,3e-10,1e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.29
3e-05,6e-06,6e-13,3e-10,5e-11,0.0699,35100000000.0,1090000000.0,10.8,-87.63
3e-05,6e-06,6e-13,3e-10,1.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.25
3e-05,6e-06,6e-13,3e-10,2e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.44
3e-05,6e-06,6e-13,3e-10,2.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.4
3e-05,6e-06,6e-13,3.5e-10,1e-10,0.0699,32900000000.0,983000000.0,11.17,-85.03
3e-05,6e-06,6e-13,3.5e-10,5e-11,0.0699,32900000000.0,982000000.0,11.17,-84.92
3e-05,6e-06,6e-13,3.5e-10,1.5e-10,0.0699,32900000000.0,983000000.0,11.17,-84.87
3e-05,6e-06,6e-13,3.5e-10,2e-10,0.0699,32900000000.0,986000000.0,11.17,-83.67
3e-05,6e-06,6e-13,3.5e-10,2.5e-10,0.0699,32900000000.0,985000000.0,11.17,-84.61
3e-05,6e-06,6e-13,4.5e-10,1e-10,0.0699,29900000000.0,849000000.0,11.78,-85.63
3e-05,6e-06,6e-13,4.5e-10,5e-11,0.0699,29900000000.0,849000000.0,11.78,-82.46
3e-05,6e-06,6e-13,4.5e-10,1.5e-10,0.0699,29900000000.0,848000000.0,11.78,-82.61
3e-05,6e-06,6e-13,4.5e-10,2.5e-10,0.0699,29900000000.0,850000000.0,11.78,-82.04
3e-05,6e-06,6e-13,5e-10,1e-10,0.0699,28800000000.0,802000000.0,12.02,-81.47
3e-05,6e-06,6e-13,5e-10,5e-11,0.0699,28800000000.0,803000000.0,12.02,-81.91
3e-05,6e-06,6e-13,5e-10,1.5e-10,0.0699,28800000000.0,805000000.0,12.02,-81.76
3e-05,6e-06,6e-13,5e-10,2e-10,0.0699,28800000000.0,803000000.0,12.02,-81.89
3e-05,6e-06,6e-13,5e-10,2.5e-10,0.0699,28800000000.0,805000000.0,12.02,-81.94
3e-05,6e-06,7e-13,4e-10,1e-10,0.0699,31300000000.0,907000000.0,11.5,-83.59
3e-05,6e-06,7e-13,4e-10,5e-11,0.0699,31300000000.0,906000000.0,11.5,-83.55
3e-05,6e-06,7e-13,4e-10,1.5e-10,0.0699,31300000000.0,905000000.0,11.5,-83.44
3e-05,6e-06,7e-13,4e-10,2e-10,0.0699,31300000000.0,907000000.0,11.5,-83.21
3e-05,6e-06,7e-13,4e-10,2.5e-10,0.0699,31300000000.0,907000000.0,11.5,-83.37
3e-05,6e-06,7e-13,3e-10,1e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.84
3e-05,6e-06,7e-13,3e-10,5e-11,0.0699,35100000000.0,1090000000.0,10.8,-87.56
3e-05,6e-06,7e-13,3e-10,1.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.73
3e-05,6e-06,7e-13,3e-10,2e-10,0.0699,35100000000.0,1090000000.0,10.8,-87.6
3e-05,6e-06,7e-13,3e-10,2.5e-10,0.0699,35100000000.0,1090000000.0,10.8,-88.04
3e-05,6e-06,7e-13,3.5e-10,1e-10,0.0699,32900000000.0,985000000.0,11.17,-85.27
3e-05,6e-06,7e-13,3.5e-10,5e-11,0.0699,32900000000.0,982000000.0,11.17,-77.83
3e-05,6e-06,7e-13,3.5e-10,1.5e-10,0.0699,32900000000.0,983000000.0,11.17,-84.97
3e-05,6e-06,7e-13,3.5e-10,2e-10,0.0699,32900000000.0,980000000.0,11.17,-84.81
3e-05,6e-06,7e-13,4.5e-10,1e-10,0.0699,29900000000.0,849000000.0,11.78,-82.41
3e-05,6e-06,7e-13,4.5e-10,5e-11,0.0699,29900000000.0,847000000.0,11.78,-82.36
3e-05,6e-06,7e-13,4.5e-10,1.5e-10,0.0699,29900000000.0,849000000.0,11.78,-82.77
3e-05,6e-06,7e-13,4.5e-10,2e-10,0.0699,29900000000.0,850000000.0,11.78,-82.4
3e-05,6e-06,7e-13,4.5e-10,2.5e-10,0.0699,29900000000.0,849000000.0,11.78,-82.44
3e-05,6e-06,7e-13,5e-10,1e-10,0.0699,28800000000.0,806000000.0,12.02,-81.3
3e-05,6e-06,7e-13,5e-10,5e-11,0.0699,28800000000.0,802000000.0,12.02,-81.72
3e-05,6e-06,7e-13,5e-10,1.5e-10,0.0699,28800000000.0,797000000.0,12.02,-81.63
3e-05,6e-06,7e-13,5e-10,2e-10,0.0699,28800000000.0,803000000.0,12.02,-81.43
3e-05,7e-06,5e-13,4e-10,1e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.42
3e-05,7e-06,5e-13,4e-10,5e-11,0.0699,31000000000.0,1010000000.0,11.53,-83.65
3e-05,7e-06,5e-13,4e-10,1.5e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.38
3e-05,7e-06,5e-13,4e-10,2e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.49
3e-05,7e-06,5e-13,4e-10,2.5e-10,0.0699,31000000000.0,1010000000.0,11.53,-83.26
3e-05,7e-06,5e-13,3e-10,1e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.65
3e-05,7e-06,5e-13,3e-10,5e-11,0.0699,34800000000.0,1210000000.0,10.83,-87.78
3e-05,7e-06,5e-13,3e-10,1.5e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.85
3e-05,7e-06,5e-13,3e-10,2e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.56
3e-05,7e-06,5e-13,3e-10,2.5e-10,0.0699,34800000000.0,1210000000.0,10.83,-87.39
3e-05,7e-06,5e-13,3.5e-10,1e-10,0.0699,32700000000.0,1090000000.0,11.21,-84.58
3e-05,7e-06,5e-13,3.5e-10,5e-11,0.0699,32700000000.0,1090000000.0,11.21,-84.51
3e-05,7e-06,5e-13,3.5e-10,1.5e-10,0.0699,32700000000.0,1090000000.0,11.21,-84.79
3e-05,7e-06,5e-13,3.5e-10,2e-10,0.0699,32700000000.0,1100000000.0,11.2,-84.93
3e-05,7e-06,5e-13,3.5e-10,2.5e-10,0.0699,32700000000.0,1100000000.0,11.2,-83.76
3e-05,7e-06,5e-13,4.5e-10,1e-10,0.0699,29700000000.0,946000000.0,11.81,-82.5
3e-05,7e-06,5e-13,4.5e-10,5e-11,0.0699,29700000000.0,946000000.0,11.81,-82.56
3e-05,7e-06,5e-13,4.5e-10,1.5e-10,0.0699,29700000000.0,948000000.0,11.81,-82.71
3e-05,7e-06,5e-13,4.5e-10,2e-10,0.0699,29700000000.0,945000000.0,11.81,-81.98
